Time,Code,Priority,Name
Thu Jun 10 14:50:59 2021,9A,57,PAW LOW     
Thu Jun 10 14:50:59 2021,A4,65,VOL ERR     
Thu Jun 10 14:50:59 2021,33,51,VOL INCONST 
Thu Jun 10 14:50:59 2021,42,52,FLOW SENSOR?
,,,
Thu Jun 10 14:51:03 2021,19,49,MIN VOL LOW 
Thu Jun 10 14:51:03 2021,12,49,AIR SUPPLY ?
Thu Jun 10 14:51:03 2021,37,51,% O2 HIGH   
Thu Jun 10 14:51:03 2021,57,53,CO2 ALRM OFF
Thu Jun 10 14:51:03 2021,13,49,LO O2 SUPPLY
Thu Jun 10 14:51:03 2021,9A,57,PAW LOW     
Thu Jun 10 14:51:03 2021,A4,65,VOL ERR     
Thu Jun 10 14:51:03 2021,33,51,VOL INCONST 
Thu Jun 10 14:51:03 2021,42,52,FLOW SENSOR?
,,,
Thu Jun 10 14:51:08 2021,19,49,MIN VOL LOW 
Thu Jun 10 14:51:08 2021,12,49,AIR SUPPLY ?
Thu Jun 10 14:51:08 2021,37,51,% O2 HIGH   
Thu Jun 10 14:51:08 2021,57,53,CO2 ALRM OFF
Thu Jun 10 14:51:08 2021,13,49,LO O2 SUPPLY
Thu Jun 10 14:51:08 2021,9A,57,PAW LOW     
Thu Jun 10 14:51:08 2021,A4,65,VOL ERR     
Thu Jun 10 14:51:08 2021,33,51,VOL INCONST 
Thu Jun 10 14:51:08 2021,42,52,FLOW SENSOR?
,,,
Thu Jun 10 14:51:13 2021,19,49,MIN VOL LOW 
Thu Jun 10 14:51:13 2021,12,49,AIR SUPPLY ?
Thu Jun 10 14:51:13 2021,37,51,% O2 HIGH   
Thu Jun 10 14:51:13 2021,57,53,CO2 ALRM OFF
Thu Jun 10 14:51:13 2021,13,49,LO O2 SUPPLY
Thu Jun 10 14:51:13 2021,9A,57,PAW LOW     
Thu Jun 10 14:51:13 2021,A4,65,VOL ERR     
Thu Jun 10 14:51:13 2021,33,51,VOL INCONST 
Thu Jun 10 14:51:13 2021,42,52,FLOW SENSOR?
,,,
Thu Jun 10 14:51:18 2021,19,49,MIN VOL LOW 
Thu Jun 10 14:51:18 2021,12,49,AIR SUPPLY ?
Thu Jun 10 14:51:18 2021,37,51,% O2 HIGH   
Thu Jun 10 14:51:18 2021,57,53,CO2 ALRM OFF
Thu Jun 10 14:51:18 2021,13,49,LO O2 SUPPLY
Thu Jun 10 14:51:18 2021,9A,57,PAW LOW     
Thu Jun 10 14:51:18 2021,A4,65,VOL ERR     
Thu Jun 10 14:51:18 2021,33,51,VOL INCONST 
Thu Jun 10 14:51:18 2021,42,52,FLOW SENSOR?
,,,
Thu Jun 10 14:51:23 2021,19,49,MIN VOL LOW 
Thu Jun 10 14:51:23 2021,12,49,AIR SUPPLY ?
Thu Jun 10 14:51:23 2021,37,51,% O2 HIGH   
Thu Jun 10 14:51:23 2021,57,53,CO2 ALRM OFF
Thu Jun 10 14:51:23 2021,13,49,LO O2 SUPPLY
Thu Jun 10 14:51:23 2021,9A,57,PAW LOW     
Thu Jun 10 14:51:23 2021,A4,65,VOL ERR     
Thu Jun 10 14:51:23 2021,33,51,VOL INCONST 
Thu Jun 10 14:51:23 2021,42,52,FLOW SENSOR?
